ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2020-12-05 00:00:00,001,颗粒物,3.11,20,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:49.31,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2020-12-05 00:00:00,002,二氧化硫,7.75,80,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:49.31,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2020-12-05 00:00:00,003,氮氧化物,57.04,250,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:49.31,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2020-12-05 00:00:00,004,一氧化碳,4.81,80,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:49.31,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D75838503C80BFAD4D6562D8,2020-12-05 00:00:00,008,氯化氢,2.5,50,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:49.31,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2020-12-05 00:00:00,001,颗粒物,,20,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:45.577,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2020-12-05 00:00:00,002,二氧化硫,,80,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:45.577,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2020-12-05 00:00:00,003,氮氧化物,,250,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:45.577,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2020-12-05 00:00:00,004,一氧化碳,,80,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:45.577,20201205
B93B47F2D75838505A64121665DA05C1,B93B47F2D7583850973EB68822DE90A6,2020-12-05 00:00:00,008,氯化氢,,50,,0,0,2020-12-06T09:20:45.577,2020-12-06T09:20:45.577,20201205
